fight_id,fighter_name,height_disp,age_disp,knockdowns_disp,sig_strikes_landed_disp,total_strikes_attempted_disp,takedowns_landed_disp,takedowns_attempted_disp,sub_attemps_disp,control_time_disp,body_strikes_landed_disp,leg_strikes_landed_disp,outcome
1259,Joe Giannetti,1.0,-3.5,0.0,-1.0,-4.0,1.0,6.0,-1.0,-2.8,1.0,-1.0,0.0
1260,Alex Caceres,2.0,5.199999999999999,0.0,3.0,-56.0,-2.0,-7.0,0.0,-2.0300000000000002,6.0,-4.0,1.0
1260,Martin Bravo,-2.0,-5.199999999999999,0.0,-3.0,56.0,2.0,7.0,0.0,2.0300000000000002,-6.0,4.0,0.0
1261,Alessio Di Chirico,-2.0,0.40000000000000213,0.0,0.0,-10.0,3.0,3.0,-2.0,2.88,0.0,1.0,1.0
1261,Julian Marquez,2.0,-0.40000000000000213,0.0,0.0,10.0,-3.0,-3.0,2.0,-2.88,0.0,-1.0,0.0
1262,John Gunther,2.0,6.300000000000001,0.0,-2.0,42.0,7.0,14.0,-1.0,8.489999999999998,-8.0,-2.0,1.0
1262,Allan Zuniga,-2.0,-6.300000000000001,0.0,2.0,-42.0,-7.0,-14.0,1.0,-8.489999999999998,8.0,2.0,0.0
1263,Bryce Mitchell,3.0,-3.5,0.0,3.0,-16.0,2.0,7.0,1.0,-2.3800000000000003,1.0,-4.0,1.0
1263,Tyler Diamond,-3.0,3.5,0.0,-3.0,16.0,-2.0,-7.0,-1.0,2.3800000000000003,-1.0,4.0,0.0
1264,Steven Peterson,0.0,-5.399999999999999,0.0,7.0,12.0,1.0,0.0,1.0,2.0700000000000003,1.0,8.0,1.0
1264,Matt Bessette,-0.0,5.399999999999999,0.0,-7.0,-12.0,-1.0,0.0,-1.0,-2.0700000000000003,-1.0,-8.0,0.0
1265,Li Jingliang,1.0,3.6999999999999993,0.0,35.0,35.0,0.0,0.0,0.0,0.0,9.0,26.0,1.0
1265,Daichi Abe,-1.0,-3.6999999999999993,0.0,-35.0,-35.0,0.0,0.0,0.0,0.0,-9.0,-26.0,0.0
1266,Matt Schnell,-1.0,7.399999999999999,0.0,22.0,-11.0,0.0,0.0,0.0,0.0,3.0,13.0,1.0
1266,Naoki Inoue,1.0,-7.399999999999999,0.0,-22.0,11.0,0.0,0.0,0.0,0.0,-3.0,-13.0,0.0
1267,Tai Tuivasa,-1.0,-14.099999999999998,1.0,0.0,0.0,0.0,-2.0,0.0,1.02,4.0,-7.0,1.0
1267,Andrei Arlovski,1.0,14.099999999999998,-1.0,0.0,0.0,0.0,2.0,0.0,-1.02,-4.0,7.0,0.0
1268,Curtis Blaydes,0.0,-10.8,0.0,9.0,25.0,3.0,3.0,-2.0,5.82,1.0,0.0,1.0
1268,Alistair Overeem,-0.0,10.8,0.0,-9.0,-25.0,-3.0,-3.0,2.0,-5.82,-1.0,0.0,0.0
1269,Mirsad Bektic,0.0,-8.8,0.0,-5.0,74.0,1.0,-3.0,0.0,3.66,-7.0,-1.0,1.0
1269,Ricardo Lamas,-0.0,8.8,0.0,5.0,-74.0,-1.0,3.0,0.0,-3.66,7.0,1.0,0.0
1270,Sergio Pettis,2.0,-9.099999999999998,0.0,8.0,-16.0,-1.0,-9.0,0.0,-3.15,-6.0,-12.0,1.0
1270,Joseph Benavidez,-2.0,9.099999999999998,0.0,-8.0,16.0,1.0,9.0,0.0,3.15,6.0,12.0,0.0
1271,Julio Arce,2.0,-1.6999999999999993,0.0,20.0,68.0,0.0,-1.0,0.0,-1.41,16.0,-18.0,1.0
1271,Daniel Teymur,-2.0,1.6999999999999993,0.0,-20.0,-68.0,0.0,1.0,0.0,1.41,-16.0,18.0,0.0
1272,Sam Alvey,-1.0,-0.6999999999999957,1.0,5.0,1.0,0.0,0.0,0.0,0.0,-8.0,-5.0,1.0
1272,Gian Villante,1.0,0.6999999999999957,-1.0,-5.0,-1.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0
1273,David Teymur,1.0,-4.699999999999996,0.0,1.0,31.0,0.0,-4.0,0.0,-0.61,-10.0,11.0,1.0
1273,Nik Lentz,-1.0,4.699999999999996,0.0,-1.0,-31.0,0.0,4.0,0.0,0.61,10.0,-11.0,0.0
1274,Belal Muhammad,-3.0,-1.5,0.0,39.0,5.0,1.0,-1.0,0.0,0.32,4.0,12.0,1.0
1274,Chance Rencountre,3.0,1.5,0.0,-39.0,-5.0,-1.0,1.0,0.0,-0.32,-4.0,-12.0,0.0
1275,Desmond Green,0.0,-6.0,0.0,32.0,1.0,0.0,-2.0,0.0,0.0,5.0,2.0,1.0
1275,Gleison Tibau,-0.0,6.0,0.0,-32.0,-1.0,0.0,2.0,0.0,0.0,-5.0,-2.0,0.0
1276,Arnold Allen,0.0,0.10000000000000142,0.0,9.0,-11.0,-4.0,-7.0,0.0,-5.41,6.0,-4.0,1.0
1276,Mads Burnell,-0.0,-0.10000000000000142,0.0,-9.0,11.0,4.0,7.0,0.0,5.41,-6.0,4.0,0.0
1277,Makwan Amirkhani,0.0,3.6000000000000014,-2.0,-5.0,-34.0,2.0,2.0,-1.0,-2.62,-6.0,-11.0,1.0
1277,Jason Knight,-0.0,-3.6000000000000014,2.0,5.0,34.0,-2.0,-2.0,1.0,2.62,6.0,11.0,0.0
1278,Carlo Pedersoli Jr.,-2.0,-3.8999999999999986,-1.0,7.0,12.0,1.0,1.0,0.0,0.53,5.0,-3.0,1.0
1278,Brad Scott,2.0,3.8999999999999986,1.0,-7.0,-12.0,-1.0,-1.0,0.0,-0.53,-5.0,3.0,0.0
1279,Elias Theodorou,-2.0,-7.399999999999999,0.0,28.0,64.0,-2.0,-6.0,0.0,-0.7500000000000002,13.0,0.0,1.0
1279,Trevor Smith,2.0,7.399999999999999,0.0,-28.0,-64.0,2.0,6.0,0.0,0.7500000000000002,-13.0,0.0,0.0
1280,Guido Cannetti,-2.0,11.899999999999999,0.0,11.0,35.0,0.0,-2.0,-1.0,4.5600000000000005,3.0,-1.0,1.0
1280,Diego Rivas,2.0,-11.899999999999999,0.0,-11.0,-35.0,0.0,2.0,1.0,-4.5600000000000005,-3.0,1.0,0.0
1281,Alexandre Pantoja,-2.0,3.700000000000003,0.0,24.0,40.0,-1.0,-4.0,0.0,0.9700000000000001,2.0,4.0,1.0
